Comments,Cleaned_Comments,Translated_Comments
புஷ்பா2 வில்லனே நீ தான்யா😅😅😅,பஷப வலலன ந தனய,Pashabha Valalana Naaaaaaaaaaaaaaaaaaaaaa
He gave negative review to all movies. Just he start new movie in his productions. Then only he knows about producers feelings.,he gave negative review to all movies just he start new movie in his productions then only he knows about producers feelings,he gave negative review to all movies just he start new movie in his productions then only he knows about producers feelings
"பார்ப்பவன்கள் பைத்தியங்கள் என்பதை நல்லாவே தெரிந்து  வைத்திருப்பதால் ; கை, கால் கட்டப்பட்டாலும் பல்  ஃபைட். ஆடியன்சை எவ்வளவு தூரம் முட்டாள்களாக நினைத்திருந்தால் இப்படியெல்லாம் படம் எடுப்பான்கள்.",பரபபவனகள பததயஙகள எனபத நலலவ தரநத வததரபபதல க கல கடடபபடடலம பல ஃபட ஆடயனச எவவளவ தரம மடடளகளக நனததரநதல இபபடயலலம படம எடபபனகள,This is the most common type of quality of life and the quality of the quality of the quality of the company.
Soru epdi da saapudara....?? Unga kudumbatha kooti kuduthutaa nu ketaanungale... avanungaluku seruppala adikurathu pola sollunga sir...,soru epdi da saapudara unga kudumbatha kooti kuduthutaa nu ketaanungale avanungaluku seruppala adikurathu pola sollunga sir,SORU EPDI DA SAAPARI UUNGA KUDUMBATHA KOOTIKUTAA NU NU KEJAANUNGALE AVANUNGALUKU SERUPPALAUTRUTURUTRUTHU SOLLUNGA SIR
Yov padam vera level ya❤❤🔥🔥🔥🔥🔥,yov padam vera level ya,yov padam vera level ya
நான் என்ன சொல்றனா இனிமேல் நீ பச்ச சட்ட போடாத கக்கூஸ் கலர்ல சட்ட போடு இனிமேல் உன் பேர் கக்கூஸ் சட்ட,நன எனன சலறன இனமல ந பசச சடட படத கககஸ கலரல சடட பட இனமல உன பர கககஸ சடட,Nana is a good idea
Padam parkalm,padam parkalm,Park Parkalm
Yow loosu Kelatu Panda Padam already 800 Kodi ya Cross Pannirichi 😂,yow loosu kelatu panda padam already kodi ya cross pannirichi,Yow Loosu Kelatu Panda Put up Already Kodi Yes Cross Pannirichi
இந்து மதத்தை புதைச்சும் சாதிகளை தூக்கி புடிச்சும் சினிமா எடுத்து தமிழ் சினிமா செத்து போயிடிச்சு  அவங்களாவது இந்திய சினிமாவுக்கு மீண்டும் ஆரோக்கியம் கொடுக்கட்டுமே,இநத மததத பதசசம சதகள தகக படசசம சனம எடதத தமழ சனம சதத பயடசச அவஙகளவத இநதய சனமவகக மணடம ஆரககயம கடககடடம,This is the most common type of religion and the publication of the company.
யோவ் மாறா....1000 கோடி அடிக்க போகுது யா 😅😅,யவ மற கட அடகக பகத ய,Yava Kadaka Bhagatha Ya
"O, Ahmedabad",o ahmedabad,o Ahmedabad
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=318"">5:18</a> gubeer🤣",a href gubeer,a href gubeer
The best cinematic fools are only Tamil and Telugu idiots in the entire universe  😅😂,the best cinematic fools are only tamil and telugu idiots in the entire universe,the best cinematic fools are only tamil and telugu idiots in the entire universe
hahaha pity on tamil pan india films.. nothing is working for you guys.. dont hate others.. try to make films which has audience reach.. all the best.,hahaha pity on tamil pan india films nothing is working for you guys dont hate others try to make films which has audience reach all the best,hahaha pity on tamil pan india films nothing is working for you guys dont hate others try to make films which has audience reach all the best
blue settai like film only when .. its village drop back normal life no costly things...only award winning movies,blue settai like film only when its village drop back normal life no costly thingsonly award winning movies,blue settai like film only when its village drop back normal life no costly thingsonly award winning movies
ஜெகதி பாபு 😂😂😂😂,ஜகத பப,Jagadha
Poda su,poda su,The floor is
One must dismantle his brain before watching this movie.....,one must dismantle his brain before watching this movie,one must dismantle his brain before watching this movie
"Kanguva is better than pushpa 2 😢, anyway they should have stopped after first part!",kanguva is better than pushpa anyway they should have stopped after first part,kanguva is better than pushpa anyway they should have stopped after first part
Intha padathuku unga review correct aa than iruku...,intha padathuku unga review correct aa than iruku,intha padathuku unga review correct aa than iruku
Pushpa super padam ❤❤❤❤,pushpa super padam,Pushpa is super extinguished
"Padam nallathanda iruku, some logic mistake iruku, but nalla iruku",padam nallathanda iruku some logic mistake iruku but nalla iruku,extinguished Nallahathanda iruku some logic mistake iruku but nalla iruku
தமிழ் காரன் ஜப்பான் ல பேசுறான். ஜப்பான் காரன் தமிழla பேசுறான் 😅,தமழ கரன ஜபபன ல பசறன ஜபபன கரன தமழla பசறன,Tamala Karana Jabapana
Tamil people&#39;s crying because Telugu movies collections😂,tamil peoples crying because telugu movies collections,tamil peoples crying because telugu movies collections
Anti Indian review pannunga 😅… plzzz,anti indian review pannunga plzzz,Anti Indian Review Plzzz Plzzz
Kasu vangitanga  patti😂,kasu vangitanga patti,Kasu Vangitanga Patti
"Sir neenga old movies review pannuvingala??<br>If so, please start it soon.",sir neenga old movies review pannuvingalabrif so please start it soon,sir neenga old movies review pannuvingalabrif so please start it soon
"TVK thalivar Thaakkapatta Tharunam <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=360"">6:00</a> 😂😂😂 Vijay mindvoice : nan nadikaradha vittutu vantane da 😂😂😂😂",tvk thalivar thaakkapatta tharunam a href vijay mindvoice nan nadikaradha vittutu vantane da,tvk thalivar thakakatpatta tharunam a href vijay mindvoice nan nadikaradha fucking vantane da
நான் செலவு பண்ண காசு ஒர்த்,நன சலவ பணண கச ஒரத,Consciousness
Worst movie 🤦‍♂️,worst movie,worst movie
Crt ah dan ya review sollirukan,crt ah dan ya review sollirukan,crt ah and yes review solli
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=213"">3:33</a> evar yaar theriyumanu...Frist la varathu.😂😂😂😂",a href evar yaar theriyumanufrist la varathu,a href evar yaar theriyumanufrist la varathu
"Best commercial entertainer so far this year Guys there are a lot of negative comments BUT the movie is really nice. Movie is well made , it’s impossible to me she part 2 this good.",best commercial entertainer so far this year guys there are a lot of negative comments but the movie is really nice movie is well made its impossible to me she part this good,best commercial entertainer so far this year guys there are a lot of negative comments but the movie is really nice movie is well made its impossible to me she part this good
"this is built up , bala krishsa movie another version , but who love telugu mass masala you will like this movie",this is built up bala krishsa movie another version but who love telugu mass masala you will like this movie,this is built up bala krishsa movie another version but who love telugu mass masala you will like this movie
Evulo kasu vanguninga neela satta,evulo kasu vanguninga neela satta,Evulo's benefits of Vanguninga Satta Satta
Blue Kottai Maaran🔵🔵 thug life😂😂😂,blue kottai maaran thug life,Blue Kottai Maaran Thug life
Total collection 800 crore,total collection crore,total collection crore
Semmara kattai kadathura padam la hit kuduthu movie ah fame aakuringa yen nu purilaye,semmara kattai kadathura padam la hit kuduthu movie ah fame aakuringa yen nu purilaye,Semmara Kattai Kadathura extinguished La Hit Kuduthu Movie Ah Fame Aakuringa Yen Nu Purilaye
படம் மிக அருமையாக உள்ளது  சீனு சிறுசா இருந்தாலும் பெருசா இருந்தாலும் சூப்பரா இருக்கு,படம மக அரமயக உளளத சன சறச இரநதலம பரச இரநதலம சபபர இரகக,Image Gallery
Ivan Oruththan 😂,ivan oruththan,ivan oruththan
Dai tharkuri aven japan ku load anupara madhiri kanavu kanuvan da andha kanavula epdi 42 days container la ponan epdi japanese pesunan nu logic pathuttu irukka modha padatha pathu purunjuka kathuko apparam vandhu review pannu da comali 😂😂😂,dai tharkuri aven japan ku load anupara madhiri kanavu kanuvan da andha kanavula epdi days container la ponan epdi japanese pesunan nu logic pathuttu irukka modha padatha pathu purunjuka kathuko apparam vandhu review pannu da comali,Dai thaarkuri aven japan ku load anupara madan kanavu kanuvan da Andha Kanavula epdi days container La Ponan Epdi Japanese pesunan NU Logic Pathuttu Irukka Modha Solidha Pathu Purunjuka Kathuko Appararam Vandhu Review Pannu da Comali
Hyder ali kaalathu scene uh 🤣🤣🤣,hyder ali kaalathu scene uh,Hyder Ali Kaalathu Scene UH
Thal٤ªأவிதி  7ٌْ:24,thalªأவத,thalªأவத
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=346"">5:46</a> <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=368"">6:08</a>",a href a href,and href and href
Yow pushpa pursa😂😂😂<br>ithelam oru padam,yow pushpa pursabrithelam oru padam,yow pushpa pursabrithelah oru goes out
Jagabathy babu😂😂😅😅,jagabathy babu,Jagabathy Babu
ஏங்க இங்க மணவாடு..... தமிழ் fight போகுது!!!!! படத்துக்கு முட்டு கொடுப்பதை விடுத்து......... ஓட்டு போடுங்க டா....<br>... தமிழர் ஆட்சி அமைய....<br><br><br>Result : படம்....கொடுத்த                  காசுக்கு.   <br>              worth uh தான்......,ஏஙக இஙக மணவட தமழ fight பகத படததகக மடட கடபபத வடதத ஓடட படஙக டbr தமழர ஆடச அமயbrbrbrresult படமகடதத கசகக br worth uh தன,BRRESULT PROBRESUT BRRESUT BRRESUT BRRESUT BRRESUT PROPRESUT PROPERS
"What ever, to all the cheap ppl in comment section. Pushpa 2 collected 800 cr in 4 days . Are there any Tamil movies which crossed 1000cr atleast once . 😂",what ever to all the cheap ppl in comment section pushpa collected cr in days are there any tamil movies which crossed cr atleast once,what ever to all the cheap ppl in comment section pushpa collected cr in days are there any tamil movies which crossed cr atleast once
How was the movie ? Please comment,how was the movie please comment,how was the movie please comment
பணம் வேஸ்ட்... போகாதீங்க..,பணம வஸட பகதஙக,Money Laundering
பச்சை சட்ட மாறன் 😂,பசச சடட மறன,Mutual
Intha aalu kaasu vaangirukaan.. First half nallaruku nu soldraan.. paatu lam nallarukunu vaera soldraan.. Padam paathavanuku theriyum antha karumam lam eappadi irunthuchi nu...,intha aalu kaasu vaangirukaan first half nallaruku nu soldraan paatu lam nallarukunu vaera soldraan padam paathavanuku theriyum antha karumam lam eappadi irunthuchi nu,INTHA AALU KAASU VAANGIRURANKA FIRST HALF NALARUKU NU SOLDRAAN PAATU LAM NALLARUKUNU VAERA SOLDRAAN ON PAATHAVANUKU THERIYUM Antha KARUMAM LAM EAPPADI IRUNTHUCHI NU
இன்னும் சில நாள் ல ப்ளூ சட்ட மறையர அளவுக்கு Ad  வரும் போல 😮😅,இனனம சல நள ல பள சடட மறயர அளவகக ad வரம பல,There is a lot of money
Scene ha pakum pothu nala than iruku. But en ithalam nadakuthu ithanala ena sola varanganu kadaisi varaikum puriyala,scene ha pakum pothu nala than iruku but en ithalam nadakuthu ithanala ena sola varanganu kadaisi varaikum puriyala,Scene ha pakum pothu nala than iruku but en ithalam nadakuthu ithanala ena sola vianu kadisi varaikum puriyala
100 percent apudi than enakum irundhuchi.,percent apudi than enakum irundhuchi,percent apudi tasty irundhuchi
Thaangi thaangi side vaangichi😂,thaangi thaangi side vaangichi,Thaangi Thaangi Side Vaangichi
Pushpa 2 waste of time and money ..,pushpa waste of time and money,pushpa waste of time and money
Una tha pathutu irundhe 🤷🏻‍♂️🤦🏻‍♂️,una tha pathutu irundhe,You have Tha Pathutu Irundhe
this fellow is a joke. above that he is revealing the plot twist. non sense. at lease give a spoiler disclaimer,this fellow is a joke above that he is revealing the plot twist non sense at lease give a spoiler disclaimer,this fellow is a joke above that he is revealing the plot twist non sense at lease give a spoiler disclaimer
"Ippo dhan adi vaangitu vandhen, Kanguva evlo paravala😂",ippo dhan adi vaangitu vandhen kanguva evlo paravala,IPPO DHAN ADI VAANGUS VANHEN KANGAVA EVLO parAvala
Blue Sattai you r waste paper.<br>Pushpa 2 rocks,blue sattai you r waste paperbrpushpa rocks,blue sattai you r waste paperbrpushpa rocks
யாருக்கெல்லாம் தோணுது climax ல bomb blast பண்ணது நம்ம bhanwar singh shekhawat தான் அப்படின்னு...my doubt after watching this movie now,யரககலலம தணத climax ல bomb blast பணணத நமம bhanwar singh shekhawat தன அபபடனனmy doubt after watching this movie now,யரககலலம தணத climax ல bomb blast பணணத நமம bhanwar singh shekhawat தன அபபடனனmy doubt after watching this movie now
Nee yar da useless 😂😂😂,nee yar da useless,Nee yar is also aleseless
இது புதுசா இருக்குண்ணே புதுசா இருக்கு செம்ம,இத பதச இரககணண பதச இரகக சமம,This is the equivalent of the company
"Worst review, useless fellow, romba waste felow, yar da ivan, 😂😂😂",worst review useless fellow romba waste felow yar da ivan,worst review useless fellow romba waste felow yar da ivan
Nalla sirupu review,nalla sirupu review,Nalla Sirupu Review
"Ne eaduthu mokka padathu, pushpa padam nalatan da iruku",ne eaduthu mokka padathu pushpa padam nalatan da iruku,ne eaduthu mokka solid pushpa extinguished and equipment
Review லாம் இருக்கட்டும் உங்களுக்கு ஏன் ஒரு பக்கம் மீசை இல்லாம இருக்கு 😂😂😂,review லம இரககடடம உஙகளகக ஏன ஒர பககம மச இலலம இரகக,Review
Dey adu chitturu culture da Dey,dey adu chitturu culture da dey,Dey Adu Chitturu Culture Da Dey
"Tamil peoples are burning 😅😅😂😂 still no 1000 cr mve, Telugu 4 times, reality Telugu cinema industry ruling India.",tamil peoples are burning still no cr mve telugu times reality telugu cinema industry ruling india,tamil peoples are burning still no cr mve telugu times reality telugu cinema industry ruling india
Thaangi thaangi rombe side vaangirichi😂😂😂yov nakkelyaa uneke,thaangi thaangi rombe side vaangirichiyov nakkelyaa uneke,thaangi thaangi rompe side vaangirichiyov nakkelya uneke
"The public is always right they want entertainment apart from tension from real life. But film has running hit with 500cr net crore, what is your comments?",the public is always right they want entertainment apart from tension from real life but film has running hit with cr net crore what is your comments,the public is always right they want entertainment apart from tension from real life but film has running hit with cr net crore what is your comments
But still know cross above 400cr <br>Ur comments uslessssss.better luck next movie.,but still know cross above cr brur comments uslessssssbetter luck next movie,but still know cross above cr brur comments uslessssssbetter luck next movie
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=341"">5:41</a> vera level thalaiva🤣🤣",a href vera level thalaiva,a href vera level thalaiva
"Yo mudinja nee 500crore pottu oru padam eduthu kaaten , atleast a Normal hit padam thaayen ... Unga ANTI INDIAN padam compare pannum bothu These movies are Million times better",yo mudinja nee crore pottu oru padam eduthu kaaten atleast a normal hit padam thaayen unga anti indian padam compare pannum bothu these movies are million times better,yo mudinja nee crore pottu oru padam eduthu kaaten atleast a normal hit padam thaayen unga anti indian padam compare pannum bothu these movies are million times better
😢😢😢,,
நீ திட்டற படம்தான்டா நல்லா ஓடுது,ந தடடற படமதனட நலல ஓடத,Good day
படம் எப்படி இருக்கு மக்கள் review.... comment 👇,படம எபபட இரகக மககள review comment,Review Comment
புஷ்பா என்றால் பொம்பளை என்று நினைத்தேன் ஆனால் ஆம்பளை 🫸🫸🫸🫸🫸🫸🫸🫸ஷ்பா😂,பஷப எனறல பமபள எனற நனததன ஆனல ஆமபள ஷப,Pashaba
Mama kutty u ma kikkum,mama kutty u ma kikkum,mama kutty u ma kikkum
Theatre ku kudukara &quot;Paisa vasool&quot;. Mass entertainment. Andhra Garam Masala film. Super entertainment.,theatre ku kudukara quotpaisa vasoolquot mass entertainment andhra garam masala film super entertainment,Theater ku tissuera quotpaisa vasoolquot mass entertainment andhra garam masala film Super Entertainment
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=398"">6:38</a>",a href,and href
Bro your the best Awsome review... 😂😂😂😂,bro your the best awsome review,bro your the best awsome review
Ivan kaasu vangitan padam arala mokka peelings paatu varaikum kooda utkaara mudiyala,ivan kaasu vangitan padam arala mokka peelings paatu varaikum kooda utkaara mudiyala,Ivan Kaasa Prisoner Pamad Arala Mokka Peelings Rae Vaate Work Utkara Mudiyala
This oldman cant understand the film only the youth can understand Ur n jealous because the Telugu film industry became first place in india,this oldman cant understand the film only the youth can understand ur n jealous because the telugu film industry became first place in india,this oldman cant understand the film only the youth can understand ur n jealous because the telugu film industry became first place in india
Correct 👍,correct,Correct
யோவ் மனசாட்சி யோட பேசுயா படம் பாத்து தூங்கிட்டேன் படு மொக்க,யவ மனசடச யட பசய படம பதத தஙகடடன பட மகக,The image of the image of the film
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=399"">6:39</a>  hero vanthu pushpa purusana irupparu😅ultimate yaa nee",a href hero vanthu pushpa purusana irupparuultimate yaa nee,a href Hero vanthu pushpa bite word irp rugimate ya nee
Pushpa 1 pakala but 2 pathuten 😅😂,pushpa pakala but pathuten,pushpa pakala but pathuten
"Cunni hero ke cunni padhem varamme, nalla padhemma varum? 🤷🏾‍♂️",cunni hero ke cunni padhem varamme nalla padhemma varum,Cunni Hero Ke Cunni Padhem Varamme Nalla Padhemma Varum
Goltis triggered i am so happy😂😂,goltis triggered i am so happy,goltis triggered in am so happy
சரியா சொன்னிங்க முதல் பாகமே ஏன் ஒடிச்சினு தெரியல இதுல ரெண்டாம் பாகம் இத விட கொடுமை ஏன்னனா அந்த படத்து அவார்டு வேற குடுத்தாங்க ச்சை,சரய சனனஙக மதல பகம ஏன ஒடசசன தரயல இதல ரணடம பகம இத வட கடம ஏனனன அநத படதத அவரட வற கடததஙக சச,Others of the Northern Province of the Northern Province of the Northern Province
Blood and black review pannunga,blood and black review pannunga,blood and black review pannunga
நைஸ் படம்,நஸ படம,Nasa filmmaker
தேவேடிய பய்யா,தவடய பயய,Wrongy
Ama bro,ama bro,AMA BRO
Ithanda Review 😂🔥,ithanda review,ithanda review
"நீ திரைக்கதை எழுதி இன்னோரு படம் இயக்கு மாறன் sir,, அத நீயே விமர்சனம் பண்ணு,,,,",ந தரககத எழத இனனர படம இயகக மறன sir அத நய வமரசனம பணண,Sir
"Guys except for one or two scenes, full film is a mass entertainer, its a family movie, please go with family and watch you will be entertained max!",guys except for one or two scenes full film is a mass entertainer its a family movie please go with family and watch you will be entertained max,guys except for one or two scenes full film is a mass entertainer its a family movie please go with family and watch you will be entertained max
Poda davidpulla...,poda davidpulla,pruning Davidpulla
Ivan kedukkuran ithu nalla irukku 😂😂<br>Kochikatha vana satta,ivan kedukkuran ithu nalla irukku brkochikatha vana satta,Ivan Kedukkurran Ithu Nalla Irku Irku brkochikatha vana Satta
முதல் பாகத்திற்கு கொடுத்த நேஷ்னல் awardக்கு இந்த இரண்டாம் பாகத்தில் சரி பண்ண நினைச்சிருக்காங்க 😂😂,மதல பகததறக கடதத நஷனல awardகக இநத இரணடம பகததல சர பணண நனசசரககஙக,Award
5.24,,
Padam super ams🎉,padam super ams,SUPER AMS
இவர் thaan anti indian entra அருமையான padathai edutha ventha பருப்பு,இவர thaan anti indian entra அரமயன padathai edutha ventha பரபப,இவர thaan anti indian entra அரமயன padathai edutha ventha பரபப
Vada mgr karumpo nakki😂😂😂,vada mgr karumpo nakki,MGR Karumpa Nakki's Vada
"Blue satta pamuthu , ena aachu ungle",blue satta pamuthu ena aachu ungle,Blue Satta Pamuthu Ena Aachu Ungle
😂sirika vatchathuku thank u,sirika vatchathuku thank u,Sirika vatchathuku thank u
hey kezhattu samrani nee sonna scene kanavu la varuthu kanavula kuda logic pathu varuma kaduppu panni....😮😮😮,hey kezhattu samrani nee sonna scene kanavu la varuthu kanavula kuda logic pathu varuma kaduppu panni,Hey Kezhattu Samrani Nee Snona Scene Kanavu La Varuthu Kanavula Kuda Kuda Logic Share Supply
Perfect Review 😊,perfect review,perfect review
Thangki thangki side vangki irukaru😅😂,thangki thangki side vangki irukaru,Thangki Thangki Side Vangki Irukaru
Wild firrraa..<br>Internationalraa...<br>Apdraaa....<br>Ippdraaa...<br>😂😂😂😂😂,wild firrraabrinternationalraabrapdraaabrippdraaabr,Wild FirrraRabrinternational Grab -drip
Aprom ethuku da nee poi padam patha,aprom ethuku da nee poi padam patha,Aprom Ethuku Da Nee Poi Patha Patha
"Ticket pair worth for this review, கொன்னுட்டானுக",ticket pair worth for this review கனனடடனக,ticket pair worth for this review கனனடடனக
அல்லு<br>அர்ஜூன்.  உலகம் முழுக்க  பேர் வாங்கியுள்ளார்  .இது தான் வெற்றி,அலலbrஅரஜன உலகம மழகக பர வஙகயளளர இத தன வறற,Alala BRA is a world of rainy season.
"Unnaku Tamil padam ethuvum nalla irukathu. pushpa2 la logic ee illama parakuran,kattikiran ithu unnaku nalla iruku",unnaku tamil padam ethuvum nalla irukathu pushpa la logic ee illama parakurankattikiran ithu unnaku nalla iruku,unnaku tamil Padam etuvum tedla irukathu pushpa la Logic ee Illaama parakururahtikira Ithu unnaku naluuuku
பைத்தியக்கார கதை கேமலமா இருக்கு படம்,பததயககர கத கமலம இரகக படம,Padarayagara Katha Kamalama
Muttu kuduthathukku nandri,muttu kuduthathukku nandri,Muttu Kuduthathuku Nandri
Pushpa 4 : the reckoning,pushpa the reckoning,pushpa the reckoning
Dont know why u guys so hatw moviw is really awesome 3 hours 20 minutes feels like 2 hours people its compleg power packed movie dont belivie in this region haters,dont know why u guys so hatw moviw is really awesome hours minutes feels like hours people its compleg power packed movie dont belivie in this region haters,dont know why u guys so hatw moviw is really awesome hours minutes feels like hours people its compleg power packed movie dont belivie in this region haters
What to expect from damils u giys just hate everything except tamil movies,what to expect from damils u giys just hate everything except tamil movies,what to expect from damils u giys just hate everything except tamil movies
J🎉,j,j
Ivar sonna ellame correctu dhan...😂😂😂.,ivar sonna ellame correctu dhan,Ivar Sonna Ellame Correct Dhan
Mobile camera movie aunty indian movie  patha thalai valikuma ? Valikatha?,mobile camera movie aunty indian movie patha thalai valikuma valikatha,Mobile Camera Movie Aunty Indian Movie Patha Thalai Valikuma Valikatha
Ni vena movie eadu da Sunni na review tharan unaku,ni vena movie eadu da sunni na review tharan unaku,not even the Movie eadu to Sunni on Review Tharan Unac
கருமம்   புடிச்சவனுங்க படமா எடுத்து வெச்சி இருக்காணுங்க  🤦‍♂யோவ் Fahadh fossil உனக்கு என்ன யா ஆச்சி 💁,கரமம படசசவனஙக படம எடதத வசச இரககணஙக யவ fahadh fossil உனகக எனன ய ஆசச,Fahadh Fossil
Japanese kaaran Tamil peesumboodhu Pushpa speaking Japanese pesakudaadha  😂😂😂😂,japanese kaaran tamil peesumboodhu pushpa speaking japanese pesakudaadha,Japanese Kaaran Tamil Pushpa Pushpa Speaking Japanese Nest Codaha
