Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
அல்லு<br>அர்ஜூன்.  உலகம் முழுக்க  பேர் வாங்கியுள்ளார்  .இது தான் வெற்றி,அலலbrஅரஜன உலகம மழகக பர வஙகயளளர இத தன வறற,Alala BRA is a world of rainy season.,Alala BRA is a world of rainy season,Neutral
"Unnaku Tamil padam ethuvum nalla irukathu. pushpa2 la logic ee illama parakuran,kattikiran ithu unnaku nalla iruku",unnaku tamil padam ethuvum nalla irukathu pushpa la logic ee illama parakurankattikiran ithu unnaku nalla iruku,unnaku tamil Padam etuvum tedla irukathu pushpa la Logic ee Illaama parakururahtikira Ithu unnaku naluuuku,unnaku tamil Padam etuvum tedla irukathu pushpa la Logic ee Illaama parakururahtikira Ithu unnaku naluuuku,Neutral
பைத்தியக்கார கதை கேமலமா இருக்கு படம்,பததயககர கத கமலம இரகக படம,Padarayagara Katha Kamalama,Padarayagara Katha Kamalama,Neutral
Muttu kuduthathukku nandri,muttu kuduthathukku nandri,Muttu Kuduthathuku Nandri,Muttu Kuduthathuku Nandri,Neutral
Pushpa 4 : the reckoning,pushpa the reckoning,pushpa the reckoning,pushpa the reckoning,Neutral
Dont know why u guys so hatw moviw is really awesome 3 hours 20 minutes feels like 2 hours people its compleg power packed movie dont belivie in this region haters,dont know why u guys so hatw moviw is really awesome hours minutes feels like hours people its compleg power packed movie dont belivie in this region haters,dont know why u guys so hatw moviw is really awesome hours minutes feels like hours people its compleg power packed movie dont belivie in this region haters,dont know why u guys so hatw moviw is really awesome hours minutes feels like hours people its compleg power packed movie dont belivie in this region haters,Positive
What to expect from damils u giys just hate everything except tamil movies,what to expect from damils u giys just hate everything except tamil movies,what to expect from damils u giys just hate everything except tamil movies,what to expect from damils u giys just hate everything except tamil movies,Negative
J🎉,j,j,j,Neutral
Ivar sonna ellame correctu dhan...😂😂😂.,ivar sonna ellame correctu dhan,Ivar Sonna Ellame Correct Dhan,Ivar Sonna Ellame Correct Dhan,Neutral
Mobile camera movie aunty indian movie  patha thalai valikuma ? Valikatha?,mobile camera movie aunty indian movie patha thalai valikuma valikatha,Mobile Camera Movie Aunty Indian Movie Patha Thalai Valikuma Valikatha,Mobile Camera Movie Aunty Indian Movie Patha Thalai Valikuma Valikatha,Neutral
Ni vena movie eadu da Sunni na review tharan unaku,ni vena movie eadu da sunni na review tharan unaku,not even the Movie eadu to Sunni on Review Tharan Unac,not even the Movie eadu to Sunni on Review Tharan Unac,Neutral
கருமம்   புடிச்சவனுங்க படமா எடுத்து வெச்சி இருக்காணுங்க  🤦‍♂யோவ் Fahadh fossil உனக்கு என்ன யா ஆச்சி 💁,கரமம படசசவனஙக படம எடதத வசச இரககணஙக யவ fahadh fossil உனகக எனன ய ஆசச,Fahadh Fossil,Fahadh Fossil,Neutral
Japanese kaaran Tamil peesumboodhu Pushpa speaking Japanese pesakudaadha  😂😂😂😂,japanese kaaran tamil peesumboodhu pushpa speaking japanese pesakudaadha,Japanese Kaaran Tamil Pushpa Pushpa Speaking Japanese Nest Codaha,Japanese Kaaran Tamil Pushpa Pushpa Speaking Japanese Nest Codaha,Neutral
") Taiwan legislator Hsu Chih-chieh held a joint Taiwanese and Japanese international press conference about global legislation to combat forced organ harvesting on July 15, 2024. The human rights legislative committee of the Legislative Yuan invited a former doctor from China, Zheng Zhi, to speak at the press conference. Zheng Zhi was an intern in the Department of Urology at the Shenyang Army General Hospital when he participated in the Chinese Communist Party’s (CCP) live organ harvesting. He said hopes to tell more people about the atrocities that he witnessed.<br><br>In addition to Taiwanese legislators Hsu Chih-chieh and Chen Zhao-zi, representatives of the Taiwan Medical Association and the Taiwan Lawyers Association expressed their support for legislation on organ harvesting. Hiroaki Maruyama, the chairman of Japan’s “Stop Medical Genocide – Society for the Study of Organ Transplantation in China” (SMG Network) also attended the event.<br><br><br>International press conference in Taiwan on “Legislation to combat organ harvesting” on July 15, 2024<br><br>Zheng Zhi was an intern at the Department of Urology at the Shenyang Army General Hospital, when in 1994, he, three other military doctors, a head nurse and a female nurse were asked to participate in a secret military mission. He was ordered to harvest the organs of an army officer who was under the age of 18.<br><br>Zheng Zhi said that at that time, the young officer’s hands, feet and neck were tied with thin ropes, and there were soldiers with submachine guns standing guard nearby. After the head nurse cut open the clothes for disinfection, a military doctor directly disemboweled the patient without using anesthesia. He made a large incision from under the xiphoid process (under the sternum) and cut directly to the umbilicus. The intestines were removed.<br><br>At that time, the medical providers were divided into two groups, each removing the left and right kidneys. A military doctor ordered Zheng Zhi to cut open the artery and vein, and when he did, blood gushed out. He recalled, “I immediately knew he was still alive, because the blood in the abdominal cavity was flowing.” <br><br>Then, the military doctor ordered him to remove the eyeball, but after taking off the bandage wrapped around his face, he said, “I saw the young officer’s eyes looking straight at me, and his eyelids were still moving. I said I really couldn’t do it. I really couldn’t do it. The other military doctor immediately took the hemostatic forceps and pressed the [young officer’s] forehead, and then directly dug out the eyeball with his right hand,” Zheng Zhi related, as he wept.<br><br>“After going through all this, I was about to collapse. I really couldn’t take any more. I quickly asked the director for a leave to go home. This was a great shock to me. The young officer was less than 18 years old, almost the same age as me... such a vibrant life. But I didn’t dare tell anyone. An officer warned me that if I told anyone, my life would be in danger.”<br><br>In 2005, a close confidant of a member of the CCP’s Politburo Standing Committee who had a good relationship with Zheng Zhi’s family visited him during the Chinese New Year and said, “In the basement of the rear garden of the Public Security Bureau in Wuhan, Hubei Province, there are many Falun Gong practitioners, including underage children.”<br><br>A Choice Between Good and Evil",taiwan legislator hsu chihchieh held a joint taiwanese and japanese international press conference about global legislation to combat forced organ harvesting on july the human rights legislative committee of the legislative yuan invited a former doctor from china zheng zhi to speak at the press conference zheng zhi was an intern in the department of urology at the shenyang army general hospital when he participated in the chinese communist partys ccp live organ harvesting he said hopes to tell more people about the atrocities that he witnessed br brin addition to taiwanese legislators hsu chihchieh and chen zhaozi representatives of the taiwan medical association and the taiwan lawyers association expressed their support for legislation on organ harvesting hiroaki maruyama the chairman of japans stop medical genocide society for the study of organ transplantation in china smg network also attended the event br br brinternational press conference in taiwan on legislation to combat organ harvesting on july br brzheng zhi was an intern at the department of urology at the shenyang army general hospital when in he three other military doctors a head nurse and a female nurse were asked to participate in a secret military mission he was ordered to harvest the organs of an army officer who was under the age of br brzheng zhi said that at that time the young officers hands feet and neck were tied with thin ropes and there were soldiers with submachine guns standing guard nearby after the head nurse cut open the clothes for disinfection a military doctor directly disemboweled the patient without using anesthesia he made a large incision from under the xiphoid process under the sternum and cut directly to the umbilicus the intestines were removed br brat that time the medical providers were divided into two groups each removing the left and right kidneys a military doctor ordered zheng zhi to cut open the artery and vein and when he did blood gushed out he recalled i immediately knew he was still alive because the blood in the abdominal cavity was flowing br brthen the military doctor ordered him to remove the eyeball but after taking off the bandage wrapped around his face he said i saw the young officers eyes looking straight at me and his eyelids were still moving i said i really couldnt do it i really couldnt do it the other military doctor immediately took the hemostatic forceps and pressed the young officers forehead and then directly dug out the eyeball with his right hand zheng zhi related as he wept br brafter going through all this i was about to collapse i really couldnt take any more i quickly asked the director for a leave to go home this was a great shock to me the young officer was less than years old almost the same age as me such a vibrant life but i didnt dare tell anyone an officer warned me that if i told anyone my life would be in danger br brin a close confidant of a member of the ccps politburo standing committee who had a good relationship with zheng zhis family visited him during the chinese new year and said in the basement of the rear garden of the public security bureau in wuhan hubei province there are many falun gong practitioners including underage children br bra choice between good and evil,taiwan legislator hsu chihchieh held a joint taiwanese and japanese international press conference about global legislation to combat forced organ harvesting on july the human rights legislative committee of the legislative yuan invited a former doctor from china zheng zhi to speak at the press conference zheng zhi was an intern in the department of urology at the shenyang army general hospital when he participated in the chinese communist partys ccp live organ harvesting he said hopes to tell more people about the atrocities that he witnessed br brin addition to taiwanese legislators hsu chihchieh and chen zhaozi representatives of the taiwan medical association and the taiwan lawyers association expressed their support for legislation on organ harvesting hiroaki maruyama the chairman of japans stop medical genocide society for the study of organ transplantation in china smg network also attended the event br br brinternational press conference in taiwan on legislation to combat organ harvesting on july br brzheng zhi was an intern at the department of urology at the shenyang army general hospital when in he three other military doctors a head nurse and a female nurse were asked to participate in a secret military mission he was ordered to harvest the organs of an army officer who was under the age of br brzheng zhi said that at that time the young officers hands feet and neck were tied with thin ropes and there were soldiers with submachine guns standing guard nearby after the head nurse cut open the clothes for disinfection a military doctor directly disemboweled the patient without using anesthesia he made a large incision from under the xiphoid process under the sternum and cut directly to the umbilicus the intestines were removed br brat that time the medical providers were divided into two groups each removing the left and right kidneys a military doctor ordered zheng zhi to cut open the artery and vein and when he did blood gushed out he recalled i immediately knew he was still alive because the blood in the abdominal cavity was flowing br brthen the military doctor ordered him to remove the eyeball but after taking off the bandage wrapped around his face he said i saw the young officers eyes looking straight at me and his eyelids were still moving i said i really couldnt do it i really couldnt do it the other military doctor immediately took the hemostatic forceps and pressed the young officers forehead and then directly dug out the eyeball with his right hand zheng zhi related as he wept br brafter going through all this i was about to collapse i really couldnt take any more i quickly asked the director for a leave to go home this was a great shock to me the young officer was less than years old almost the same age as me such a vibrant life but i didnt dare tell anyone an officer warned me that if i told anyone my life would be in danger br brin a close confidant of a member of the ccps politburo standing committee who had a good relationship with zheng zhis family visited him during the chinese new year and said in the basement of the rear garden of the public security bureau in wuhan hubei province there are many falun gong practitioners including underage children br bra choice between good and evil,taiwan legislator hsu chihchieh held a joint taiwanese and japanese international press conference about global legislation to combat forced organ harvesting on july the human rights legislative committee of the legislative yuan invited a former doctor from china zheng zhi to speak at the press conference zheng zhi was an intern in the department of urology at the shenyang army general hospital when he participated in the chinese communist partys ccp live organ harvesting he said hopes to tell more people about the atrocities that he witnessed br brin addition to taiwanese legislators hsu chihchieh and chen zhaozi representatives of the taiwan medical association and the taiwan lawyers association expressed their support for legislation on organ harvesting hiroaki maruyama the chairman of japans stop medical genocide society for the study of organ transplantation in china smg network also attended the event br br brinternational press conference in taiwan on legislation to combat organ harvesting on july br brzheng zhi was an intern at the department of urology at the shenyang army general hospital when in he three other military doctors a head nurse and a female nurse were asked to participate in a secret military mission he was ordered to harvest the organs of an army officer who was under the age of br brzheng zhi said that at that time the young officers hands feet and neck were tied with thin ropes and there were soldiers with submachine guns standing guard nearby after the head nurse cut open the clothes for disinfection a military doctor directly disemboweled the patient without using anesthesia he made a large incision from under the xiphoid process under the sternum and cut directly to the umbilicus the intestines were removed br brat that time the medical providers were divided into two groups each removing the left and right kidneys a military doctor ordered zheng zhi to cut open the artery and vein and when he did blood gushed out he recalled i immediately knew he was still alive because the blood in the abdominal cavity was flowing br brthen the military doctor ordered him to remove the eyeball but after taking off the bandage wrapped around his face he said i saw the young officers eyes looking straight at me and his eyelids were still moving i said i really couldnt do it i really couldnt do it the other military doctor immediately took the hemostatic forceps and pressed the young officers forehead and then directly dug out the eyeball with his right hand zheng zhi related as he wept br brafter going through all this i was about to collapse i really couldnt take any more i quickly asked the director for a leave to go home this was a great shock to me the young officer was less than years old almost the same age as me such a vibrant life but i didnt dare tell anyone an officer warned me that if i told anyone my life would be in danger br brin a close confidant of a member of the ccps politburo standing committee who had a good relationship with zheng zhis family visited him during the chinese new year and said in the basement of the rear garden of the public security bureau in wuhan hubei province there are many falun gong practitioners including underage children br bra choice between good and evil,Positive
"Yoo olu adu tamil dubbing karane kekkanum , in telugu both speaks japanese",yoo olu adu tamil dubbing karane kekkanum in telugu both speaks japanese,Yoo Olu Adu Tamil Dubbing Karane Kekane in Telugu Both Speaks Japanese,Yoo Olu Adu Tamil Dubbing Karane Kekane in Telugu Both Speaks Japanese,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=35"">0:35</a> level up, advanced English skills.",a href level up advanced english skills,a href level up advanced english skills,a href level up advanced english skills,Positive
ஒரு போட்டாவுக்கடா இந்த அக்க போரு 😂 செம மூவி 🔥,ஒர படடவககட இநத அகக பர சம மவ,Once in a picture,Once in a picture,Neutral
🫵🤌👉🔥🔥🔥pu,pu,pu,pu,Neutral
Yow blue sattai neee solratha vida mokka padam ya,yow blue sattai neee solratha vida mokka padam ya,Yow Blue Sattai Neee Solratha Vida Mokka goes out huh,Yow Blue Sattai Neee Solratha Vida Mokka goes out huh,Neutral
Padama ethu...karumam..hyped..not meeting the hype..disappointed.,padama ethukarumamhypednot meeting the hypedisappointed,padama ethukarumamhypednot meeting the hypedisappointed,padama ethukarumamhypednot meeting the hypedisappointed,Neutral
"ஐயா இன்று நான் ஒத்துக்கொள்கிறேன் இது உண்மையான விமர்சனம்... உங்களுக்கு என்னவெல்லாம் தோன்றுகிறதோ அதுதான் எனக்கும் தோன்றியது இந்த படம் பார்க்கும்போது முதல் வாகும் நன்றாகவே இருந்தது puspa 1, புஷ்பா 2 இதில் ஃபர்ஸ்ட் ஆஃப் நன்றாக இருந்தது அந்த சண்டைக்காட்சி தவிர செகண்ட் ஆஃப் ரொம்பவே அறுவை தான் ஒரு ஒரு சீனும் அரை மணி நேரம் நடக்கிறது கிளைமாக்ஸில் சண்டைக்காட்சி அதிகப்படியான பில்டப் காட்சிகள் தான் இருந்தது இரண்டு கை இரண்டு காலும் கட்டி விட்ட பிறகு வாயால் கடித்து கடித்து சண்டை போடுகிறார் ஹீரோ😅😅😅 புஷ்பா 2 அழுத்தமான கதையாக இல்லை",ஐய இனற நன ஒததககளகறன இத உணமயன வமரசனம உஙகளகக எனனவலலம தனறகறத அததன எனககம தனறயத இநத படம பரககமபத மதல வகம நனறகவ இரநதத puspa பஷப இதல ஃபரஸட ஆஃப நனறக இரநதத அநத சணடககடச தவர சகணட ஆஃப ரமபவ அறவ தன ஒர ஒர சனம அர மண நரம நடககறத களமகஸல சணடககடச அதகபபடயன பலடப கடசகள தன இரநதத இரணட க இரணட கலம கடட வடட பறக வயல கடதத கடதத சணட படகறர ஹர பஷப அழததமன கதயக இலல,"This is the most important thing to do in the world, but it is the most important thing to do. நரம நடககறத களமகஸல சணடககடச அதகபபடயன பலடப கடசகள தன இரநதத இரணட க இரணட கலம கடட வடட பறக வயல கடதத கடதத சணட படகறர ஹர பஷப அழததமன கதயக இலல",This is the most important thing to do in the world but it is the most important thing to do,Positive
Antha &quot;dhideer thalapathy &quot; dialogue block buster🎉❤,antha quotdhideer thalapathy quot dialogue block buster,antha quotdhideer thalapathy quot dialogue block buster,antha quotdhideer thalapathy quot dialogue block buster,Neutral
"Unakalam yeppadi padam adutha pidikkum sollunga sir,<br>Unga mariyathaiya nengalea kiduthukeringa enemea unga chennal pakka mattan waste of time",unakalam yeppadi padam adutha pidikkum sollunga sirbrunga mariyathaiya nengalea kiduthukeringa enemea unga chennal pakka mattan waste of time,UNAKALAM YEPPADI ADUTHA PIDIKKUM SOLLUNGA SIRBRUNGA MARIYATHAIYA NENGALEA KIDUTHUKERINGA Enemea Unga Chennal Pakka Mattan Waste of Time,UNAKALAM YEPPADI ADUTHA PIDIKKUM SOLLUNGA SIRBRUNGA MARIYATHAIYA NENGALEA KIDUTHUKERINGA Enemea Unga Chennal Pakka Mattan Waste of Time,Negative
Uncle retirement edtu veetle okkaru.. Unmadiri idiots nale da tamilians e pata comedians madiri pakrango.. Edo tamil le ta world le illatey movies edta madiri.. Cinema ve tamil kare kandu pudicha madiri overaction pannivinga... Silly fellows,uncle retirement edtu veetle okkaru unmadiri idiots nale da tamilians e pata comedians madiri pakrango edo tamil le ta world le illatey movies edta madiri cinema ve tamil kare kandu pudicha madiri overaction pannivinga silly fellows,Uncle Retirement Edtu Veetle Okkaru Unmadiri IDIOTS NALE from Tamilians and Pata Comedians Madiri Pakrango Edo Tamil le ta world le illatey movies Edta Madiri Cinema Ve Tamil Kare Kandu Picicha Madiri Overaction Panniving Silly Fellows,Uncle Retirement Edtu Veetle Okkaru Unmadiri IDIOTS NALE from Tamilians and Pata Comedians Madiri Pakrango Edo Tamil le ta world le illatey movies Edta Madiri Cinema Ve Tamil Kare Kandu Picicha Madiri Overaction Panniving Silly Fellows,Negative
We tamil audience don&#39;t support logicless movies like Pushpa not because of jealousy.These Telugu brainless chapris won&#39;t understand .We did the same for Kanguva.We Tamil audience support other state movies like Avesham and Kgf. It should be genuinely good,we tamil audience dont support logicless movies like pushpa not because of jealousythese telugu brainless chapris wont understand we did the same for kanguvawe tamil audience support other state movies like avesham and kgf it should be genuinely good,we tamil audience dont support logicless movies like pushpa not because of jealousythese telugu brainless chapris wont understand we did the same for kanguvawe tamil audience support other state movies like avesham and kgf it should be genuinely good,we tamil audience dont support logicless movies like pushpa not because of jealousythese telugu brainless chapris wont understand we did the same for kanguvawe tamil audience support other state movies like avesham and kgf it should be genuinely good,Positive
Correct review 😅👍🏻,correct review,correct review,correct review,Neutral
ப்ளூ சட்டை பின்னிட்ட பின்னிட்ட😂😂😂,பள சடட பனனடட பனனடட,Panadanada Pananada,Panadanada Pananada,Neutral
புதுசா இருக்குனே புதுசா இருக்கு 😂😂,பதச இரககன பதச இரகக,Global variety,Global variety,Neutral
வெச்சு செய்தல் என்றால் என்ன ? இப்படம் பார்க்கவும்,வசச சயதல எனறல எனன இபபடம பரககவம,This is the most important thing,This is the most important thing,Positive
Review pakama movie ku ponsthu yean thsppu thanda,review pakama movie ku ponsthu yean thsppu thanda,review pakama movie ku ponsthu yean thsppu thanda,review pakama movie ku ponsthu yean thsppu thanda,Neutral
Best review,best review,best review,best review,Positive
Ajithey kadaule,ajithey kadaule,abethey Kalaale,abethey Kalaale,Neutral
😂😂😂 classical rewiew 😂😂😂👏,classical rewiew,classical rewiew,classical rewiew,Neutral
Part 1 - allu&#39;s intro dialogue... &quot; Pacha telungan&quot;<br><br>Part 2 - intro dialogue.. &quot; ivan kandipa telungan&quot; <br><br>In tamil dub movie la telugu dominate,part allus intro dialogue quot pacha telunganquotbrbrpart intro dialogue quot ivan kandipa telunganquot brbrin tamil dub movie la telugu dominate,Part ALLUS Intro Dialogue Quot Pacha Telunganquotbrbrprart Intrial Dialogue quot Ivan Kandipa Telunganquot Brbrin Tamil Dub Movie La Telugu dominate,Part ALLUS Intro Dialogue Quot Pacha Telunganquotbrbrprart Intrial Dialogue quot Ivan Kandipa Telunganquot Brbrin Tamil Dub Movie La Telugu dominate,Neutral
Thatha intro Fight Kanavu (Dream).. that’s why no logic but movie 100 💯 block buster…,thatha intro fight kanavu dream thats why no logic but movie block buster,thatha intro fight kanavu dream thats why no logic but movie block buster,thatha intro fight kanavu dream thats why no logic but movie block buster,Neutral
nice,nice,nice,nice,Positive
First scene kanavvu da loosu kudhi thewdiya payane😂😂😂😂,first scene kanavvu da loosu kudhi thewdiya payane,First SCENE KANAAAAAAVEVUS KUWDIYA PAYEE,First SCENE KANAAAAAAVEVUS KUWDIYA PAYEE,Positive
Podum soli mudunchu,podum soli mudunchu,the subum of the Mudunch salt,the subum of the Mudunch salt,Neutral
Poda looosu kooodheee kelattu thaatha bodu ! Un direction Anti Indian movie result enna aachu?,poda looosu kooodheee kelattu thaatha bodu un direction anti indian movie result enna aachu,Poda Looso Koodhee Kelattu Thaata Bodu Un Direction was given Indian Movie Relt Enna Aachu,Poda Looso Koodhee Kelattu Thaata Bodu Un Direction was given Indian Movie Relt Enna Aachu,Neutral
Pls don&#39;t go waste your money on watching this film. Save Up!!!<br><br>Worst!!!,pls dont go waste your money on watching this film save upbrbrworst,pls dont go waste your money on watching this film save upbrbrworst,pls dont go waste your money on watching this film save upbrbrworst,Negative
"Padam. Paarthuttu..... review  ketta piragu.... watching 🌹🛕🙏......<br>1,063,910......🎉🎉🎉🎉🎉",padam paarthuttu review ketta piragu watching br,extinguished paarthuttu review ketta piragara watching br Br,extinguished paarthuttu review ketta piragara watching br Br,Neutral
Sofa office ku poitu pola,sofa office ku poitu pola,SOFA OFFICE KU POIT POLA,SOFA OFFICE KU POIT POLA,Neutral
ஜாலி ரெட்டி என்ன ஆனான்.,ஜல ரடட எனன ஆனன,Jala Radada,Jala Radada,Neutral
😅😅😅😅😅😅 pushpa flower ❌ plastic cover✅😂😂😂😂,pushpa flower plastic cover,pushpa flower plastic cover,pushpa flower plastic cover,Neutral
Ultimate review 😂😂😂😂😂😂,ultimate review,Ultimate Review,Ultimate Review,Neutral
Pushpa purushan😂,pushpa purushan,Pushpa Purushan,Pushpa Purushan,Neutral
Waiting for SeeSaw,waiting for seesaw,waiting for seesaw,waiting for seesaw,Neutral
👍,,,,Neutral
3 part continue than antha jappan scene fust,part continue than antha jappan scene fust,part continue than antha jappan scene fust,part continue than antha jappan scene fust,Neutral
Blue sattai is mental.,blue sattai is mental,Blue Sattai Is Mental,Blue Sattai Is Mental,Negative
போட வெண்ண,பட வணண,Image march,Image march,Neutral
Nee sethidu raaasa😂,nee sethidu raaasa,NEE SETHIDU RAAAS,NEE SETHIDU RAAAS,Neutral
😂,,,,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=358"">5:58</a>😂😂😂",a href,and href,and href,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=340"">5:40</a> - தாங்கி தாங்கி சைடு <br>           வாங்கி 🤣🤣🤣🤣🤣🤣",a href தஙக தஙக சட br வஙக,A href,A href,Neutral
😂😂,,,,Neutral
Dai ad potte savadikura,dai ad potte savadikura,Dai ad Potte selfadikura,Dai ad Potte selfadikura,Neutral
ஜப்பான் கார தமிழ் ல பேசிகிட்டு இருக்கா இவுரு jappanisla பேசிகிட்டு இருக்காரு 😂😂😂😂,ஜபபன கர தமழ ல பசகடட இரகக இவர jappanisla பசகடட இரககர,Jappanisla Pasakada Rakkara,Jappanisla Pasakada Rakkara,Neutral
Climax : Pushpa Vampire aga mariya tharunam,climax pushpa vampire aga mariya tharunam,climax pushpa vampire aga mariya tharunam,climax pushpa vampire aga mariya tharunam,Neutral
Nammalaala oru hairum pudunga vakku illenaalum...maththavana nottai solla oru hairum koraiyilla,nammalaala oru hairum pudunga vakku illenaalummaththavana nottai solla oru hairum koraiyilla,Nammalaala orru hairum Pudunga vakuta vakuta Illaalummatehthavana note oru haiirum koriy,Nammalaala orru hairum Pudunga vakuta vakuta Illaalummatehthavana note oru haiirum koriy,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=359"">5:59</a> work from home 😂",a href work from home,a href work from home,a href work from home,Neutral
1st off avarage 2nd off super,st off avarage nd off super,st off avarage nd off super,st off avarage nd off super,Positive
449 kodi poi nakku,kodi poi nakku,Kodi poi nakku,Kodi poi nakku,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=44"">0:44</a>",a href,and href,and href,Neutral
Pakalam bro padam ivan solrathu poi,pakalam bro padam ivan solrathu poi,"Pakalam bro, Ivan Solrathu Poi",Pakalam bro Ivan Solrathu Poi,Neutral
Super,super,super,super,Positive
ஹைதர் அலி😂😂😂😂,ஹதர அல,Harala ala,Harala ala,Neutral
"Even if it a waste film, just take at least one Tamil  film which will match this collections across india or world.",even if it a waste film just take at least one tamil film which will match this collections across india or world,even if it a waste film just take at least one tamil film which will match this collections across india or world,even if it a waste film just take at least one tamil film which will match this collections across india or world,Negative
nee pesum pecha epadi taan kekuraanggallo teriyala,nee pesum pecha epadi taan kekuraanggallo teriyala,Nee Pesum Pecha Epadi Taan Kekuraanggallo Teriyala,Nee Pesum Pecha Epadi Taan Kekuraanggallo Teriyala,Neutral
Honest review... that&#39;s all 😅😂,honest review thats all,honest review thats all,honest review thats all,Positive
I am a big fan of pushpa1. But this part 2  is total trash😂. Don&#39;t waste money.,i am a big fan of pushpa but this part is total trash dont waste money,i am a big fan of pushpa but this part is total trash dont waste money,i am a big fan of pushpa but this part is total trash dont waste money,Negative
டேய்  ப்ளூ சேட்டை மாற நல்லா சம்பாரி இதை வைத்து அடிடாஸ் போட்டு அது நல்லா இருக்கிற படத்துக்கு தப்பா ரிவ்யூ கொடுத்தது நல்லா சம்பாரி இதெல்லாம் ஒரு பொழப்பு,டய பள சடட மற நலல சமபர இத வதத அடடஸ படட அத நலல இரககற படததகக தபப ரவய கடததத நலல சமபர இதலலம ஒர பழபப,This is the best way to do this.,This is the best way to do this,Positive
Waiting for Family படம் review,waiting for family படம review,waiting for family படம review,waiting for family review,Neutral
புஷ்பா பருசன்😂😂😂,பஷப பரசன,Pashabha Parasana,Pashabha Parasana,Neutral
Tamil film maker should reboot,tamil film maker should reboot,tamil film maker should reboot,tamil film maker should reboot,Neutral
Pushpa one Samantha sootha paaka aasa pattu Otitanunga😂,pushpa one samantha sootha paaka aasa pattu otitanunga,Pushpa One Samantha Sootha Paaaka Awa Pattu Otitanunga,Pushpa One Samantha Sootha Paaaka Awa Pattu Otitanunga,Neutral
"Enna thala adi palamo, review melappala thottutu pona Mari theriuthu",enna thala adi palamo review melappala thottutu pona mari theriuthu,enna thala adi palamo review melappala thottutu pona mari theriuthu,enna thala adi palamo review melappala thottutu pona mari theriuthu,Neutral
I think u seen the dubbed version. In Telgu the Japanese speaks only Japanese,i think u seen the dubbed version in telgu the japanese speaks only japanese,i think u seen the dubbed version in telgu the japanese speaks only japanese,i think u seen the dubbed version in telgu the japanese speaks only japanese,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=185"">3:05</a> 😂😂 ultimate",a href ultimate,a Href Ultimate,a Href Ultimate,Neutral
Née yenla review soldra😅😅😅,née yenla review soldra,born Yenla Review Soldra,born Yenla Review Soldra,Neutral
Née edutha Padam odala,née edutha padam odala,Née Edutha Ods Odala,Ne Edutha Ods Odala,Neutral
நீ எல்லாம் எதுக்குன்னு சாபமா இருக்குன்னு எனக்கே எங்களுக்கு தெரியல😂,ந எலலம எதககனன சபம இரககனன எனகக எஙகளகக தரயல,What is the quality of the company?,What is the quality of the company,Neutral
Perfect review 😂👍,perfect review,perfect review,perfect review,Positive
Netu enta movie patu en da patom nu eruku 😂😂😂,netu enta movie patu en da patom nu eruku,Net Eta Movie Patu en da Patom Well,Net Eta Movie Patu en da Patom Well,Neutral
Jagabathi babu 😂😂😂,jagabathi babu,Jagabthi Babu,Jagabthi Babu,Neutral
Oru amount ungallukku  kiddaitthathu ellarorru க்கும். தெரியும். உங்கள் விவசாயம் பெருகட்டும். Soothhu பல மடங்கு perkattum.,oru amount ungallukku kiddaitthathu ellarorru ககம தரயம உஙகள வவசயம பரகடடம soothhu பல மடஙக perkattum,Oru amount Hungallukki Kiddaitthatu Ellarorru ககம தரயம உஙகள வவசயம பரகடடம பரகடடம பல பல பல மடஙக perkattum,Oru amount Hungallukki Kiddaitthatu Ellarorru perkattum,Neutral
😂😂,,,,Neutral
It was good entertainment movie 🎉,it was good entertainment movie,It was good entertainment movie,It was good entertainment movie,Positive
Beef curry masalakk potato pottar😂,beef curry masalakk potato pottar,Beef Curry Masalakk Potato Pottar,Beef Curry Masalakk Potato Pottar,Neutral
Pushpa purusan,pushpa purusan,Pushpa Pembangan,Pushpa Pembangan,Neutral
"Sema kalaai in beg  , 1st part e epdi oduchu",sema kalaai in beg st part e epdi oduchu,Sema Kalai in Beg St Part E Epdi Oduchu,Sema Kalai in Beg St Part E Epdi Oduchu,Neutral
Nalla iruku sir movie,nalla iruku sir movie,nalla iruku sir movie,nalla iruku sir movie,Neutral
Née mudra pa,née mudra pa,born Mudra pa,born Mudra pa,Neutral
"Sir dont tell story , just nalla iruku illa nu matum solinga",sir dont tell story just nalla iruku illa nu matum solinga,Sir Dont Tell Story Just Nalla Iruku Illa Nu Matum Solinka,Sir Dont Tell Story Just Nalla Iruku Illa Nu Matum Solinka,Neutral
